rpf_key,code,name,rpt_file,group,sql_len,legacy_tables
1,SQL01005001,รายงานรายละเอียดประเภทป้ายราคา,SP010001.rpt,SQL,280,PRICETAG
2,SQL01005003,รายงานรายละเอียดประเภทป้ายราคา แบบที่ 2,SP010003.rpt,SQL,1036,SKUMASTER
3,SQL01005002,รายงานรายละเอียดประเภทป้ายราคา แบบที่ 1,SP010002.rpt,SQL,1036,SKUMASTER
4,SQL00205001,รายงานรายละเอียดนาทีทอง (Hot Price),SA002001.rpt,SQL,985,ARPRICETAB HOTPRICE
5,RP9310001,รายงานรายละเอียดนาทีทองพร้อมรูป รูปแบบที่ 1 (Hot Price),DOC11702_2.rpt,RP,0,
6,RP9310002,รายงานรายละเอียดนาทีทองพร้อมรูป รูปแบบที่ 2 (Hot Price),DOC11702_3.rpt,RP,0,
7,SQL04005001,รายงานรายชื่อแคมเปญ,SP040001.RPT,SQL,297,ARCAMPAIGN
8,SQL01209002,รายงานรายชื่อสมาชิก ตามรหัสสมาชิก,MB012002.rpt,SQL,476,MEMBER SYSLOOKUP
11,SQL01209020,บัตรสมาชิก,MB012020.rpt,SQL,535,MBTYPE MEMBER SYSLOOKUP
12,SQL05090004,รายงานรายชื่อสมาชิก พร้อมประวัติส่วนตัว,SETMBD003.rpt,SQL,424,ADDRBOOK MBTYPE MEMBER SYSLOOKUP
13,SQL05090002,รายงานรายชื่อสมาชิก พร้อมที่อยู่,SETMBD002.rpt,SQL,866,MBTYPE MEMBER SYSLOOKUP
15,SQL03004009,รายงานรายละเอียดสินค้าคงเหลือ ตามคลัง - ไม่แสดงทุน,IC030007.rpt,SQL,882,BRAND DOCINFO DOCTYPE ICCAT ICDEPT SKUMASTER SKUMOVE UOFQTY WAREHOUSE WARELOCATION
16,RP174020001,รายงานสรุปสินค้าคงเหลือ แสดงจำนวนค้างรับและจำนวนค้างส่ง,IC174001.rpt,RP,0,
17,RP179020001,รายงานรายละเอียดสินค้าคงเหลือแสดงเอกสารค้างรับและค้างส่ง,IC179001.rpt,RP,0,
19,SQL03004006,รายงานสินค้าคงเหลือ ตามเลขที่กำกับ (Serial) - ไม่แสดงทุน,IC030002.rpt,SQL,967,BRAND DOCINFO DOCTYPE ICCAT ICDEPT SKUMASTER SKUMOVE UOFQTY WAREHOUSE WARELOCATION
20,RP16104022,รายงานสรุปสินค้าคงเหลือในคลัง ตามหมวดสินค้า,IC161022.rpt,RP,0,
21,RP16104010,รายงานสรุปสินค้าคงเหลือในคลัง ไม่แสดงทุน,IC161010.rpt,RP,0,
22,SQL03004007,สรุปสินค้าคงเหลือ - ตามเลขที่กำกับ - แบบสรุป (ไม่แสดงทุน),IC030005.rpt,SQL,579,BRAND DOCINFO DOCTYPE ICCAT ICDEPT SKUMASTER SKUMOVE UOFQTY WAREHOUSE WARELOCATION
23,RP16104020,รายงานสรุปสินค้าคงเหลือในคลัง ตามประเภทสินค้า,IC161020.rpt,RP,0,
24,RP16104021,รายงานสรุปสินค้าคงเหลือในคลัง ตามยี่ห้อสินค้า,IC161021.rpt,RP,0,
27,SQL02104030,รายงานรายละเอียดสินค้าพร้อม UPRICE,IC021030.rpt,SQL,1544,ARPLU ARPRICETAB ARUPRC BRAND GOODSMASTER ICCAT ICDEPT PRICETAG SKUALT SKUMASTER UOFQTY WAREHOUSE WARELOCATION
28,SQL02104031,รายงานรายละเอียดสินค้าพร้อม UDSC,IC021031.rpt,SQL,1544,ARPLU ARPRICETAB ARUDSC BRAND GOODSMASTER ICCAT ICDEPT PRICETAG SKUALT SKUMASTER UOFQTY WAREHOUSE WARELOCATION
29,SQL02104032,รายงานรายละเอียดสินค้าพร้อม UFREE,IC021032.rpt,SQL,1532,ARPLU ARPRICETAB ARUFREE BRAND GOODSMASTER ICCAT ICDEPT PRICETAG SKUALT SKUMASTER UOFQTY WAREHOUSE WARELOCATION
30,SQL02104023,รายงานรหัสซื้อขาย ตามสีสินค้า,IC021023.rpt,SQL,2227,ARPLU ARPRICETAB BRAND GOODSMASTER ICCAT ICCOLOR ICDEPT ICGL ICPRT ICSIZE PRICETAG SKUALT SKUMASTER UOFQTY WAREHOUSE WARELOCATION
31,SQL02104024,รายงานรหัสซื้อขาย ตามขนาดสินค้า,IC021024.rpt,SQL,2227,ARPLU ARPRICETAB BRAND GOODSMASTER ICCAT ICCOLOR ICDEPT ICGL ICPRT ICSIZE PRICETAG SKUALT SKUMASTER UOFQTY WAREHOUSE WARELOCATION
32,SQL021040352,รายงานรหัสซื้อขาย ตามผู้จำหน่ายหลัก,IC021036.rpt,SQL,2356,APFILE ARPLU ARPRICETAB BRAND GOODSMASTER ICCAT ICCOLOR ICDEPT ICGL ICPRT ICSIZE PRICETAG SKUALT SKUAP SKUMASTER UOFQTY WAREHOUSE WARELOCATION
33,SQL021040351,รายงานรหัสซื้อขาย ตามผู้จำหน่าย,IC021035.rpt,SQL,2358,APFILE ARPLU ARPRICETAB BRAND GOODSMASTER ICCAT ICCOLOR ICDEPT ICGL ICPRT ICSIZE PRICETAG SKUALT SKUAP SKUMASTER UOFQTY WAREHOUSE WARELOCATION
34,SQL02104022,รายงานรหัสซื้อขาย ตามประเภทสินค้า,IC021022.rpt,SQL,2227,ARPLU ARPRICETAB BRAND GOODSMASTER ICCAT ICCOLOR ICDEPT ICGL ICPRT ICSIZE PRICETAG SKUALT SKUMASTER UOFQTY WAREHOUSE WARELOCATION
35,SQL02104025,รายงานรหัสซื้อขาย ตามหมวดสินค้า,IC021025.rpt,SQL,2227,ARPLU ARPRICETAB BRAND GOODSMASTER ICCAT ICCOLOR ICDEPT ICGL ICPRT ICSIZE PRICETAG SKUALT SKUMASTER UOFQTY WAREHOUSE WARELOCATION
36,SQL02104021,รายงานรหัสซื้อขาย ตามยี่ห้อสินค้า,IC021021.rpt,SQL,2227,ARPLU ARPRICETAB BRAND GOODSMASTER ICCAT ICCOLOR ICDEPT ICGL ICPRT ICSIZE PRICETAG SKUALT SKUMASTER UOFQTY WAREHOUSE WARELOCATION
37,SQL01104102,รายงานคลังสินค้า,IC011102.rpt,SQL,267,WAREHOUSE
38,SQL01104101,รายงานคลังสินค้าและตำแหน่งเก็บ,IC011101.rpt,SQL,367,WAREHOUSE
39,SQL01004101,รายงานหน่วยนับสินค้าเรียงตามชื่อ,IC010101.rpt,SQL,93,UOFQTY
41,SQL010104102,รายงานรายชื่อหน่วยนับสินค้าเรียงตามรหัส,IC010102.rpt,SQL,93,UOFQTY
42,SQL24040006,รายงานรหัสยี่ห้อสินค้า,SETBRN001.rpt,SQL,497,MISCLOOKUP
43,SQL02104008,รายงานรหัสสินค้า ตามเครื่องพิมพ์,IC021008.rpt,SQL,1699,APFILE BRAND ICCAT ICCOLOR ICDEPT ICGL ICPRT ICSIZE SKUALT SKUAP SKUMASTER UOFQTY WAREHOUSE WARELOCATION
44,SQL04104003,รายงานรหัสสินค้า ตามประเภทสินค้า,IC021003.rpt,SQL,1699,APFILE BRAND ICCAT ICCOLOR ICDEPT ICGL ICPRT ICSIZE SKUALT SKUAP SKUMASTER UOFQTY WAREHOUSE WARELOCATION
45,SQL02104007,รายงานรหัสสินค้า ตามหมวด,IC021007.rpt,SQL,1699,APFILE BRAND ICCAT ICCOLOR ICDEPT ICGL ICPRT ICSIZE SKUALT SKUAP SKUMASTER UOFQTY WAREHOUSE WARELOCATION
46,SQL02104002,รายงานรหัสสินค้า ตามยี่ห้อ,IC021002.rpt,SQL,1699,APFILE BRAND ICCAT ICCOLOR ICDEPT ICGL ICPRT ICSIZE SKUALT SKUAP SKUMASTER UOFQTY WAREHOUSE WARELOCATION
47,SQL02104004,รายงานรหัสสินค้า ตามประเภททดแทน,IC021004.rpt,SQL,1699,APFILE BRAND ICCAT ICCOLOR ICDEPT ICGL ICPRT ICSIZE SKUALT SKUAP SKUMASTER UOFQTY WAREHOUSE WARELOCATION
48,SQL02104005,รายงานรหัสสินค้า ตามสี,IC021005.rpt,SQL,1699,APFILE BRAND ICCAT ICCOLOR ICDEPT ICGL ICPRT ICSIZE SKUALT SKUAP SKUMASTER UOFQTY WAREHOUSE WARELOCATION
49,SQL02104006,รายงานรหัสสินค้า ตามขนาด,IC021006.rpt,SQL,1699,APFILE BRAND ICCAT ICCOLOR ICDEPT ICGL ICPRT ICSIZE SKUALT SKUAP SKUMASTER UOFQTY WAREHOUSE WARELOCATION
50,SQL24040005,รายงานรหัสหมวดสินค้า,SETICD001.rpt,SQL,557,MISCLOOKUP
51,SQL24040003,รายงานแสดงรหัสสินค้าทดแทน,SETALT001.rpt,SQL,265,MISCLOOKUP
52,SQL24040002,รายงานแสดงรหัสสี,SETCOL001.rpt,SQL,282,MISCLOOKUP
